Date,Open,High,Low,Close,Adj Close,Volume
2021-09-02,72.985001,73.029900,72.666298,72.981300,72.981300,0
2021-09-03,72.944504,72.997704,72.555000,73.008904,73.008904,0
2021-09-06,72.772697,73.029999,72.772499,72.772202,72.772202,0
2021-09-07,72.959801,73.367996,72.891800,72.968201,72.968201,0
2021-09-08,73.371597,73.516998,73.194000,73.363197,73.363197,0
2021-09-09,73.288200,73.307999,72.806297,73.245697,73.245697,0
2021-09-10,72.836403,73.133301,72.666298,72.862000,72.862000,0
2021-09-13,73.100502,73.176498,72.652199,73.096100,73.096100,0
2021-09-14,72.643097,72.967003,72.569801,72.643997,72.643997,0
2021-09-15,72.879700,73.075500,72.425003,72.879601,72.879601,0
2021-09-16,72.254997,72.595001,72.231300,72.240601,72.240601,0
2021-09-17,72.470802,72.844101,72.434898,72.472504,72.472504,0
2021-09-20,72.861397,73.586098,72.772499,72.808502,72.808502,0
2021-09-21,73.436501,73.529503,72.973701,73.360001,73.360001,0
2021-09-22,73.035004,73.089897,72.576302,73.001503,73.001503,0
2021-09-23,72.924698,72.945000,72.564003,72.915901,72.915901,0
2021-09-24,72.649002,73.045998,72.619499,72.672997,72.672997,0
2021-09-27,72.670998,72.788300,72.405602,72.696899,72.696899,0
2021-09-28,72.572403,72.919800,72.383598,72.584602,72.584602,0
2021-09-29,72.839500,72.905998,72.591202,72.839203,72.839203,0
2021-09-30,72.844902,72.931999,72.561600,72.845901,72.845901,0
2021-10-01,72.715103,73.235001,72.627998,72.717201,72.717201,0
2021-10-04,72.745003,72.983002,72.389099,72.745003,72.745003,0
2021-10-05,72.474800,72.664001,72.267601,72.479897,72.479897,0
2021-10-06,72.267403,72.707603,72.256302,72.290901,72.290901,0
2021-10-07,72.394997,72.437302,71.678001,72.394600,72.394600,0
2021-10-08,71.801300,72.039001,71.617897,71.783501,71.783501,0
2021-10-11,71.753304,71.891998,71.544601,71.753304,71.753304,0
2021-10-12,71.877899,71.976997,71.707001,71.835098,71.835098,0
2021-10-13,71.846802,72.088997,71.710503,71.846497,71.846497,0
2021-10-14,71.982498,72.037598,71.314796,71.969002,71.969002,0
2021-10-15,71.366997,71.419998,70.871597,71.367500,71.367500,0
2021-10-18,71.016502,71.365402,70.943398,71.031502,71.031502,0
2021-10-19,71.070099,71.247498,70.783096,71.189003,71.189003,0
2021-10-20,70.841499,71.119003,70.807602,70.828598,70.828598,0
2021-10-21,70.801498,71.292000,70.788200,70.819099,70.819099,0
2021-10-22,71.014900,71.133003,69.931999,71.116600,71.116600,0
2021-10-25,70.352501,70.483002,69.720001,70.352501,70.352501,0
2021-10-26,69.828102,69.844002,69.213997,69.805901,69.805901,0
2021-10-27,69.438499,70.639999,69.322899,69.453796,69.453796,0
2021-10-28,70.608101,70.754997,70.027802,70.580498,70.580498,0
2021-10-29,70.148499,70.962997,70.140999,70.142403,70.142403,0
2021-11-01,70.866501,71.344002,70.724998,70.823402,70.823402,0
2021-11-02,71.585098,71.985001,71.369003,71.579903,71.579903,0
2021-11-03,71.604599,72.228996,71.320702,71.605400,71.605400,0
2021-11-04,71.750000,71.878998,71.197197,71.695602,71.695602,0
2021-11-05,71.422501,71.954002,71.039001,71.405998,71.405998,0
2021-11-08,71.127998,71.492996,71.114899,71.273201,71.273201,0
2021-11-09,71.223503,71.332001,70.644600,71.219803,71.219803,0
2021-11-10,70.722504,71.008003,70.506798,70.704498,70.704498,0
2021-11-11,71.221497,71.355598,70.964996,71.238602,71.238602,0
2021-11-12,71.561996,73.111298,71.484001,71.564003,71.564003,0
2021-11-15,72.679497,72.859299,72.024002,72.859299,72.859299,0
2021-11-16,72.483704,73.488998,72.315002,72.482803,72.482803,0
2021-11-17,73.066498,73.219200,72.296997,73.097504,73.097504,0
2021-11-18,72.553101,73.280998,72.486000,72.558701,72.558701,0
2021-11-19,73.069099,73.654999,72.681503,73.065002,73.065002,0
2021-11-22,73.435501,75.021500,73.162498,73.532997,73.532997,0
2021-11-23,74.978699,75.245003,74.346298,74.970398,74.970398,0
2021-11-24,74.270302,75.020401,74.088600,74.271500,74.271500,0
2021-11-25,74.932899,74.949501,74.460297,74.932999,74.932999,0
2021-11-26,74.551003,75.878998,74.551003,74.528297,74.528297,0
2021-11-29,75.134399,75.302399,74.254997,75.519997,75.519997,0
2021-11-30,74.462502,75.084999,73.960999,74.439201,74.439201,0
2021-12-01,74.092499,74.246002,73.688202,74.079002,74.079002,0
2021-12-02,74.246002,74.246002,73.526001,74.246002,74.246002,0
2021-12-03,73.623001,73.917198,73.342003,73.619499,73.619499,0
2021-12-06,73.889503,74.359200,73.502403,73.867798,73.867798,0
2021-12-07,74.348297,74.514999,73.841499,74.348198,74.348198,0
2021-12-08,73.989998,74.042999,73.506104,73.990303,73.990303,0
2021-12-09,73.556198,73.713997,73.452797,73.523499,73.523499,0
2021-12-10,73.655403,73.761002,73.252998,73.614998,73.614998,0
2021-12-13,73.307999,73.663597,73.225403,73.408699,73.408699,0
2021-12-14,73.480103,73.779999,73.376297,73.462502,73.462502,0
2021-12-15,73.793900,74.169098,73.644402,73.793404,73.793404,0
2021-12-16,73.603302,73.768997,73.344002,73.601303,73.601303,0
2021-12-17,73.900597,74.229599,73.527000,73.760201,73.760201,0
2021-12-20,74.330002,74.452904,74.054100,74.062599,74.062599,0
2021-12-21,74.072998,74.114998,73.714996,74.063499,74.063499,0
2021-12-22,73.869598,74.132401,73.578499,73.869598,73.869598,0
2021-12-23,73.624496,73.636002,73.172897,73.611298,73.611298,0
2021-12-24,73.320000,73.714996,73.119598,73.298798,73.298798,0
2021-12-27,73.344597,73.643898,73.077301,73.610001,73.610001,0
2021-12-28,73.347900,73.870003,73.331001,73.359001,73.359001,0
2021-12-29,73.667503,74.181000,73.554001,73.667503,73.667503,0
2021-12-30,73.974998,75.127998,73.862602,73.974998,73.974998,0
2021-12-31,74.531403,75.399002,74.463097,74.531502,74.531502,0
2022-01-03,75.185600,75.185600,74.159401,74.986000,74.986000,0
2022-01-04,74.372803,75.568001,74.361298,74.371803,74.371803,0
2022-01-05,75.263000,76.122902,75.168999,75.263000,75.263000,0
2022-01-06,76.661598,77.291702,76.043701,76.661598,76.661598,0
2022-01-07,76.334396,76.475998,75.079002,76.353699,76.353699,0
2022-01-10,75.290298,75.754898,74.830299,75.445999,75.445999,0
2022-01-11,74.874001,75.098099,74.479599,74.856003,74.856003,0
2022-01-12,74.490501,74.886002,74.289200,74.453697,74.453697,0
2022-01-13,74.564598,76.532997,74.461998,74.564499,74.564499,0
2022-01-14,76.307297,76.946999,75.580002,76.306000,76.306000,0
2022-01-17,76.306503,76.769997,75.601997,76.324501,76.324501,0
2022-01-18,76.061996,76.841003,75.845398,76.061996,76.061996,0
2022-01-19,76.808502,77.135597,75.845001,76.808502,76.808502,0
2022-01-20,76.319298,76.768997,75.982498,76.316597,76.316597,0
2022-01-21,76.747398,77.448997,76.273003,76.091301,76.091301,0
2022-01-24,77.377098,79.475998,76.970001,77.405998,77.405998,0
2022-01-25,78.612503,79.304001,78.236000,78.653503,78.653503,0
2022-01-26,78.735703,80.278999,78.503998,78.735703,78.735703,0
2022-01-27,79.220200,79.704002,77.407997,79.199600,79.199600,0
2022-01-28,78.072502,78.286003,77.401398,78.072502,78.072502,0
2022-01-31,77.877998,77.961700,77.266502,77.735802,77.735802,0
2022-02-01,77.303902,77.626099,76.434303,77.307800,77.307800,0
2022-02-02,76.691597,76.769501,75.674004,76.691597,76.691597,0
2022-02-03,76.154503,76.785004,76.123001,76.172997,76.172997,0
2022-02-04,76.412804,76.442001,75.649002,76.411499,76.411499,0
2022-02-07,75.863800,76.011398,75.366798,75.827797,75.827797,0
2022-02-08,75.414001,75.583000,74.971298,75.417397,75.417397,0
2022-02-09,75.084396,75.142601,74.535599,75.035500,75.035500,0
2022-02-10,74.712097,74.926697,74.246002,74.710197,74.710197,0
2022-02-11,75.028297,76.153999,74.810997,75.027298,75.027298,0
2022-02-14,77.352997,77.985298,76.036003,77.454399,77.454399,0
2022-02-15,76.487999,76.779999,75.098999,76.485497,76.485497,0
2022-02-16,75.473503,75.512604,74.834000,75.473000,75.473000,0
2022-02-17,75.034500,76.634003,75.032898,75.034500,75.034500,0
2022-02-18,76.128601,77.288002,75.630600,76.128601,76.128601,0
2022-02-21,78.028999,79.625000,76.199997,77.365799,77.365799,0
2022-02-22,80.389000,80.905998,78.635101,80.383003,80.383003,0
2022-02-23,78.831497,80.947998,78.577904,78.809502,78.809502,0
2022-02-24,81.414398,89.936096,81.405701,81.414398,81.414398,0
2022-02-25,84.915001,85.754303,81.509003,84.915001,84.915001,0
2022-02-28,83.865799,112.593697,83.495003,83.261002,83.261002,0
2022-03-01,104.973503,116.298500,89.391998,104.973503,104.973503,0
2022-03-02,108.479500,117.255997,103.005997,108.479500,108.479500,0
2022-03-03,102.714996,118.648499,97.964996,102.714996,102.714996,0
2022-03-04,109.714996,115.389900,103.768997,109.464996,109.464996,0
2022-03-07,139.253998,154.714996,134.464996,108.845100,108.845100,0
2022-03-08,127.464897,141.464996,122.000000,138.965103,138.965103,0
2022-03-09,129.964996,138.964996,115.820000,129.964996,129.964996,0
2022-03-10,135.964996,139.964996,116.132004,138.714996,138.714996,0
2022-03-11,135.464996,135.464996,113.389999,133.464996,133.464996,0
2022-03-14,132.964996,132.970001,110.165100,132.088699,132.088699,0
2022-03-15,119.964996,120.214996,103.964996,119.964996,119.964996,0
2022-03-16,109.382004,116.998299,106.212502,108.277496,108.277496,0
2022-03-17,96.464996,105.635002,96.464996,100.965103,100.965103,0
